username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
bourvil74,2011,83,68,35-49,H,france,"{'Francaise': 27, 'Europeenne': 16, 'Italienne': 4, 'Pizza': 3, 'Mediterraneenne': 3, 'Bar': 3, 'Suisse': 1, 'Steakhouse': 1, 'Saine': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Libanaise': 1, 'Grillades': 1, 'Fusion': 1, 'Diner': 1}",4.09,4.04,3.94,3.77,1.68,0.05,1.84
farahmhiri,2012,8,55,25-34,F,None,"{'Europeenne': 2, 'Saine': 1, 'Internationale': 1, 'Francaise': 1, 'Europe_centrale': 1}",4.78,4.78,4.78,4.28,4.28,0.56,2.56
icazec,2015,148,127,50-64,F,None,"{'Europeenne': 25, 'Francaise': 16, 'Italienne': 11, 'Suisse': 8, 'Pizza': 8, 'Asiatique': 8, 'Restauration_rapide': 7, 'Mediterraneenne': 7, 'Cafe': 4, 'Americaine': 4, 'Sushi': 3, 'Japonaise': 3, 'Italie_du_Sud': 3, 'Chinoise': 3, 'Bar': 3, 'Thai': 2, 'Saine': 2, 'Napolitaine': 2, 'Libanaise': 2, 'Indienne': 2, 'Diner': 2, 'Campanie': 2, 'Brasserie_gastronomique': 2, 'Vietnamienne': 1, 'Traiteur': 1, 'Steakhouse': 1, 'Sicilienne': 1, 'Pub': 1, 'Portugaise': 1, 'Mexicaine': 1, 'Marocaine': 1, 'Internationale': 1, 'Grillades': 1}",3.88,3.64,3.56,3.46,2.26,0.04,1.87
morgan_martos,2012,3,42,None,None,None,"{'Francaise': 2, 'Europeenne': 2, 'Saine': 1}",4.28,4.28,4.28,4.0,4.0,0.0,2.0
BzzIV,2016,9,8,None,None,france,"{'Francaise': 6, 'Europeenne': 3, 'Saine': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.12,4.11,4.03,3.81,2.75,0.16,2.19
818c_lined,2016,31,21,None,None,france,"{'Francaise': 11, 'Europeenne': 10, 'Suisse': 2, 'Steakhouse': 2, 'Pub': 2, 'Brasserie_gastronomique': 2, 'Saine': 1}",3.82,4.08,4.08,3.43,2.91,0.0,2.52
Qinstafood,2012,152,79,18-24,H,france,"{'Francaise': 44, 'Europeenne': 35, 'Saine': 9, 'Suisse': 6, 'Bar': 4, 'Pub': 3, 'Moderne': 3, 'Italienne': 3, 'Internationale': 3, 'Mediterraneenne': 2, 'Asiatique': 2, 'Steakhouse': 1, 'Pizza': 1, 'Indienne': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Cafe': 1, 'Americaine': 1}",4.08,4.14,4.11,3.86,3.21,0.14,2.14
Manugil,2009,97,406,50-64,H,suisse,"{'Europeenne': 61, 'Francaise': 51, 'Suisse': 29, 'Mediterraneenne': 13, 'Italienne': 11, 'Pizza': 8, 'Steakhouse': 4, 'Brasserie_gastronomique': 4, 'Napolitaine': 3, 'Italie_du_Sud': 3, 'Europe_centrale': 3, 'Campanie': 3, 'Internationale': 2, 'Chinoise': 2, 'Cafe': 2, 'Bar': 2, 'Asiatique': 2, 'Traiteur': 1, 'Thai': 1, 'Saine': 1, 'Pub': 1, 'Portugaise': 1, 'Moderne': 1, 'Espagnole': 1, 'Croate': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1, 'Asie_centrale': 1, 'Americaine': 1}",3.94,4.09,3.99,3.79,3.26,0.07,2.05
Solange L,2011,32,11,None,None,france,"{'Francaise': 5, 'Europeenne': 5, 'Mediterraneenne': 3, 'Tunisienne': 2, 'Marocaine': 2, 'Traiteur': 1, 'Suisse': 1, 'Saine': 1, 'Espagnole': 1, 'Brasserie_gastronomique': 1}",4.17,4.34,4.23,3.79,3.09,0.11,2.34
Didouce74,2015,158,85,None,None,france,"{'Francaise': 9, 'Europeenne': 6, 'Saine': 2, 'Brasserie_gastronomique': 1}",4.26,4.39,4.21,3.89,4.15,0.39,2.52
