username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
552ampzZuri,2013,95,49,None,None,None,"{'Asiatique': 2, 'Ethiopienne': 1, 'Thai': 1, 'Sri_lankaise': 1, 'Italienne': 1, 'Indienne': 1, 'Chinoise': 1, 'Africaine': 1}",4.83,1.5,1.17,1.33,0.0,0.0,1.33
540jessieg,2007,152,64,None,None,suisse,"{'Europeenne': 2, 'Europe_centrale': 2, 'Sushi': 1, 'Suisse': 1, 'Steakhouse': 1, 'Japonaise': 1, 'Asiatique': 1, 'Argentine': 1}",4.5,4.5,4.18,3.86,2.57,0.71,3.0
HanaMagdalena,2015,176,69,None,None,suisse,"{'Suisse': 4, 'Mediterraneenne': 4, 'Libanaise': 4, 'Europeenne': 4, 'Cafe': 4, 'Indienne': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Thai': 1, 'Sushi': 1, 'Soupes': 1, 'Saine': 1, 'Japonaise': 1, 'Internationale': 1, 'Europe_centrale': 1, 'Chinoise': 1}",3.97,3.98,3.87,3.59,1.7,0.0,1.86
AlexR171,2013,75,30,None,None,suisse,"{'Europeenne': 5, 'Mediterraneenne': 2, 'Italienne': 2, 'Suisse': 1, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Pizza': 1, 'Grillades': 1, 'Europe_centrale': 1, 'Bar_a_vins': 1, 'Allemande': 1}",3.93,4.11,3.82,3.61,3.05,0.0,1.95
chayakarn s,2019,1,1,None,None,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,3.5,4.0,0.0,0.0,2.0
Lingkang11,2019,1,1,None,None,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,3.5,4.0,0.0,0.0,2.0
"David GBradford, ",2014,5,5,None,None,royaume-uni,"{'Thai': 1, 'Europeenne': 1, 'Chinoise': 1, 'Bar': 1, 'Asiatique': 1}",4.0,4.0,3.5,3.75,1.75,0.0,2.0
sarahbG3763TP,2015,66,27,None,None,irlande,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,3.5,4.0,0.0,0.0,2.0
juliainzurich,2018,6,4,None,None,suisse,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,3.5,4.0,0.0,0.0,2.0
Chibi427Hong ,2015,5,5,None,None,chine,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,3.5,4.0,0.0,0.0,2.0
GLN176,2013,123,46,None,None,royaume-uni,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,3.5,4.0,0.0,0.0,2.0
Meander743192,2017,1,1,None,None,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,3.5,4.0,0.0,0.0,2.0
FamSiegle,2010,12,100,25-34,F,suisse,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,3.5,4.0,0.0,0.0,2.0
Donald H,2014,237,74,50-64,H,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,3.5,4.0,0.0,0.0,2.0
458KevinR458,2013,17,54,35-49,H,australie,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,3.5,4.0,0.0,0.0,2.0
aquamariner2015,2005,6,5,None,None,singapour,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,3.5,4.0,0.0,0.0,2.0
Susanne W,2013,2,2,None,None,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,3.5,4.0,0.0,0.0,2.0
loreenstella,2017,2,1,None,None,suisse,"{'Toscane': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Italie_du_Centre': 1, 'Europeenne': 1}",4.0,4.0,4.0,3.5,0.0,0.0,2.0
exploringwithjunePays-Bas,2015,278,187,None,None,pays-bas,"{'Europeenne': 2, 'Vietnamienne': 1, 'Mediterraneenne': 1, 'Malaisienne': 1, 'Grecque': 1, 'Chinoise': 1, 'Cafe': 1, 'Asiatique': 1}",3.8,3.9,3.65,4.05,3.05,0.0,2.0
Gastronome502,2011,52,95,None,None,suisse,"{'Europeenne': 4, 'Internationale': 3, 'Mediterraneenne': 2, 'Europe_centrale': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Suisse': 1, 'Soupes': 1, 'Saine': 1, 'Pizza': 1, 'Moderne': 1, 'Italienne': 1, 'Grillades': 1, 'Francaise': 1, 'Chinoise': 1, 'Bar': 1, 'Amerique_centrale': 1, 'Americaine': 1, 'Allemande': 1}",3.85,3.92,3.78,3.58,2.61,0.12,2.12
mahmouds209,2014,156,54,None,None,emirats arabes unis,"{'Suisse': 1, 'Europeenne': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Asiatique': 1}",3.78,4.06,4.0,3.5,3.33,0.0,2.0
Noemi2G,2014,28,40,None,None,suisse,"{'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Libanaise': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Asiatique': 1, 'Arabe': 1}",4.32,4.41,4.64,4.23,0.0,0.0,2.0
mailinstripadvis0rfr,2017,18,13,None,None,france,"{'Asiatique': 2, 'Singapourienne': 1, 'Saine': 1, 'Indienne': 1, 'Francaise': 1, 'Europeenne': 1, 'Chinoise': 1}",3.79,4.17,4.12,3.67,3.79,0.0,2.0
varun s,2018,60,29,None,None,allemagne,"{'Indienne': 1, 'Asiatique': 1}",4.0,4.0,4.5,3.5,4.0,0.0,2.0
mcarrel,2016,4,2,None,None,suisse,"{'Europeenne': 2, 'Europe_centrale': 2, 'Suisse': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Internationale': 1, 'Francaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.21,4.33,4.21,4.04,3.17,0.33,2.08
"Jayne HWolschwiller, ",2013,18,71,None,None,france,"{'Europeenne': 2, 'Europe_centrale': 2, 'Suisse': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Italienne': 1}",4.28,4.28,4.5,4.5,4.0,0.0,2.0
Arother8822Suisse,2014,94,141,None,None,suisse,"{'Mediterraneenne': 5, 'Europeenne': 5, 'Internationale': 2, 'Europe_centrale': 2, 'Bar': 2, 'Turque': 1, 'Soupes': 1, 'Pub': 1, 'Libanaise': 1, 'Italienne': 1, 'Grecque': 1, 'Francaise': 1, 'Chinoise': 1, 'Cafe': 1, 'Asiatique': 1, 'Americaine': 1}",4.03,3.81,3.57,3.4,2.89,0.2,2.05
Riton57,2015,3,3,None,None,suisse,"{'Vietnamienne': 1, 'Thai': 1, 'Pizza': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Italie_du_Sud': 1, 'Europeenne': 1, 'Chinoise': 1, 'Campanie': 1, 'Asiatique': 1}",3.28,3.72,3.0,3.28,0.0,0.0,2.0
ALU181818,2020,1,1,None,None,None,"{'Vietnamienne': 1, 'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.0,4.0,3.0,3.0,0.0,0.0,2.0
ValentinF350,2017,6,5,None,None,None,"{'Vietnamienne': 1, 'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.0,4.0,3.0,3.0,0.0,0.0,2.0
715tristanj,2018,5,5,None,None,None,"{'Vietnamienne': 1, 'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.0,4.0,3.0,3.0,0.0,0.0,2.0
kohllx,2014,24,17,None,None,luxembourg,"{'Europeenne': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Mediterraneenne': 1, 'Grecque': 1, 'Chinoise': 1, 'Cafe': 1, 'Asiatique': 1}",3.79,4.21,3.79,3.79,1.33,0.0,2.0
