username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
Marinagva,2020,6,3,None,None,france,"{'Asiatique': 2, 'Ethiopienne': 1, 'Sushi': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Indienne': 1, 'Europeenne': 1, 'Bangladaise': 1, 'Africaine': 1}",4.27,4.1,4.1,3.83,0.7,0.0,2.0
anaaluap18,2014,13,29,None,None,suisse,"{'Asiatique': 3, 'Indienne': 2, 'Thai': 1, 'Sushi': 1, 'Soupes': 1, 'Japonaise': 1, 'Internationale': 1, 'Europeenne': 1, 'Chinoise': 1, 'Cafe': 1, 'Bangladaise': 1}",3.72,2.92,2.72,2.7,2.7,0.0,2.0
mrssissi,2008,314,234,25-34,F,espagne,"{'Europeenne': 3, 'Suisse': 2, 'Italienne': 2, 'Europe_centrale': 2, 'Mediterraneenne': 1, 'Japonaise': 1, 'Francaise': 1, 'Asiatique': 1}",3.86,3.93,3.86,3.54,3.93,0.07,2.07
jujudab,2013,25,19,25-34,H,france,"{'Francaise': 7, 'Europeenne': 7, 'Mediterraneenne': 4, 'Asiatique': 4, 'Vietnamienne': 3, 'Libanaise': 3, 'Thai': 2, 'Chinoise': 2, 'Restauration_rapide': 1, 'Pub': 1, 'Pizza': 1, 'Moderne': 1, 'Japonaise': 1, 'Italienne': 1, 'Internationale': 1, 'Fusion': 1, 'Bar': 1, 'Americaine': 1}",4.32,4.1,4.1,3.92,2.72,0.0,1.82
fred246375,2010,30,37,35-49,H,suisse,"{'Europeenne': 9, 'Francaise': 5, 'Suisse': 4, 'Mediterraneenne': 3, 'Italienne': 3, 'Europe_centrale': 2, 'Asiatique': 2, 'Thai': 1, 'Sushi': 1, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Pizza': 1, 'Napolitaine': 1, 'Japonaise': 1, 'Italie_du_Sud': 1, 'Irlandaise': 1, 'Internationale': 1, 'Campanie': 1, 'Cafe': 1, 'Bar': 1}",3.73,3.93,3.79,3.69,2.78,0.0,1.93
Gadget G,2012,72,18,35-49,F,suisse,"{'Asiatique': 2, 'Sushi': 1, 'Japonaise': 1, 'Indienne': 1}",3.83,4.17,3.83,3.67,3.83,0.0,2.0
melissaa479,2010,8,47,None,None,suisse,"{'Asiatique': 2, 'Vietnamienne': 1, 'Sushi': 1, 'Japonaise': 1}",4.0,4.25,3.75,3.75,2.0,0.0,2.0
lollololl,2012,10,9,None,None,None,"{'Japonaise': 1, 'Francaise': 1, 'Europeenne': 1, 'Asiatique': 1}",4.2,4.2,4.2,4.0,4.2,0.4,2.4
Aleksandra C,2013,2,1,None,None,suisse,"{'Francaise': 1, 'Europeenne': 1}",4.0,4.0,4.0,4.0,4.0,0.0,2.0
Yumyum108,2012,78,16,None,None,None,"{'Europeenne': 17, 'Pizza': 10, 'Italienne': 10, 'Suisse': 9, 'Francaise': 8, 'Cafe': 6, 'Mediterraneenne': 5, 'Asiatique': 3, 'Thai': 2, 'Pakistanaise': 2, 'Indienne': 2, 'Europe_centrale': 2, 'Vietnamienne': 1, 'Turque': 1, 'Sushi': 1, 'Saine': 1, 'Romana': 1, 'Restauration_rapide': 1, 'Napolitaine': 1, 'Moderne': 1, 'Latium': 1, 'Japonaise': 1, 'Italie_du_Sud': 1, 'Italie_du_Centre': 1, 'Grecque': 1, 'Campanie': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Americaine': 1}",3.85,3.9,3.73,3.41,2.84,0.04,2.01
